factor,expr,expr_simplified,direction,corr_threshold_used,changed,len_raw,len_simpl,delta_len,ops_raw,ops_simpl,delta_ops
model_17_best0,"div(sub(AskGrad_L1_L2, BidStackRange), div(div(AskGrad_L1_L2, mul(AskVol_L1, BidGrad_L1_L2)), AskVol_L2))",(AskGrad_L1_L2 - BidStackRange)*(AskVol_L2 + 1.0e-9)*(AskVol_L1*BidGrad_L1_L2 + 1.0e-9)/(AskGrad_L1_L2 + 1.0e-9*(AskVol_L2 + 1.0e-9)*(AskVol_L1*BidGrad_L1_L2 + 1.0e-9)),1,0.95,True,105,168,63,5,0,-5
model_29_best0,"div(AskStackRange, mul(mul(add(RI_Vol, sqrt(add(RI_Vol, sqrt(BidStackRange)))), BidStackRange), div(BidGrad_L1_L2, AskGrad_L1_L2)))",AskStackRange*(AskGrad_L1_L2 + 1.0e-9)/(1.0e-9*AskGrad_L1_L2 + BidGrad_L1_L2*BidStackRange*(RI_Vol + sqrt(Abs(RI_Vol + sqrt(Abs(BidStackRange))))) + 1.0e-18),1,0.95,True,131,157,26,8,4,-4
model_10_best0,"mul(div(AskGrad_L1_L2, MeanAskVol), div(mul(div(AskStackRange, BidStackRange), AskPrice_L2), BidGrad_L1_L2))",AskGrad_L1_L2*AskPrice_L2*AskStackRange/((BidGrad_L1_L2 + 1.0e-9)*(BidStackRange + 1.0e-9)*(MeanAskVol + 1.0e-9)),1,0.95,True,108,113,5,5,0,-5
model_20_best0,"sub(cos(RI_Vol), add(BidGrad_L1_L2, sub(sqrt(BidStackRange), sub(AskGrad_L1_L2, sub(BidGrad_L1_L2, div(AskGrad_L1_L2, AskVol_L2))))))",(AskGrad_L1_L2 + (AskVol_L2 + 1.0e-9)*(AskGrad_L1_L2 - 2*BidGrad_L1_L2 + cos(RI_Vol) - sqrt(Abs(BidStackRange))))/(AskVol_L2 + 1.0e-9),1,0.95,True,133,134,1,8,3,-5
model_11_best0,"add(sub(mul(mul(AskGrad_L1_L2, div(AskStackRange, BidStackRange)), MeanBidVol), BidGrad_L1_L2), Mean_ddAskPrice_L4)",(AskGrad_L1_L2*AskStackRange*MeanBidVol + (-BidGrad_L1_L2 + Mean_ddAskPrice_L4)*(BidStackRange + 1.0e-9))/(BidStackRange + 1.0e-9),1,0.95,True,115,130,15,5,0,-5
model_5_best0,"div(AskStackRange, mul(mul(add(RI_Vol, cos(Mean_ddBidPrice_L5)), div(BidGrad_L1_L2, AskGrad_L1_L2)), BidStackRange))",AskStackRange*(AskGrad_L1_L2 + 1.0e-9)/(1.0e-9*AskGrad_L1_L2 + BidGrad_L1_L2*BidStackRange*(RI_Vol + cos(Mean_ddBidPrice_L5)) + 1.0e-18),1,0.95,True,116,136,20,6,1,-5
model_6_best0,"div(AskStackRange, mul(mul(add(RI_Vol, cos(Mean_ddBidPrice_L5)), div(BidGrad_L1_L2, AskGrad_L1_L2)), BidStackRange))",AskStackRange*(AskGrad_L1_L2 + 1.0e-9)/(1.0e-9*AskGrad_L1_L2 + BidGrad_L1_L2*BidStackRange*(RI_Vol + cos(Mean_ddBidPrice_L5)) + 1.0e-18),-1,0.95,True,116,136,20,6,1,-5
model_4_best0,"div(AskStackRange, mul(mul(add(RI_Vol, cos(Mean_ddBidPrice_L5)), div(BidGrad_L1_L2, AskGrad_L1_L2)), BidStackRange))",AskStackRange*(AskGrad_L1_L2 + 1.0e-9)/(1.0e-9*AskGrad_L1_L2 + BidGrad_L1_L2*BidStackRange*(RI_Vol + cos(Mean_ddBidPrice_L5)) + 1.0e-18),1,0.95,True,116,136,20,6,1,-5
model_12_best0,"div(div(mul(AskGrad_L1_L2, MeanBidVol), BidGrad_L1_L2), div(add(BidStackRange, BidGrad_L1_L2), AskGrad_L1_L2))",AskGrad_L1_L2*MeanBidVol*(AskGrad_L1_L2 + 1.0e-9)/((BidGrad_L1_L2 + 1.0e-9)*(1.0e-9*AskGrad_L1_L2 + BidGrad_L1_L2 + BidStackRange + 1.0e-18)),1,0.95,True,110,141,31,5,0,-5
model_13_best0,"sub(sub(sqrt(mul(mul(BidGrad_L1_L2, AskVol_L2), mul(BidGrad_L1_L2, BidStackRange))), sin(add(AskGrad_L1_L2, Mean_ddAskPrice_L4))), AskGrad_L1_L2)",-AskGrad_L1_L2 - sin(AskGrad_L1_L2 + Mean_ddAskPrice_L4) + Abs(BidGrad_L1_L2*sqrt(AskVol_L2*BidStackRange)),-1,0.95,True,145,107,-38,8,3,-5
model_16_best0,"sub(AskGrad_L1_L2, sub(BidGrad_L1_L2, sqrt(div(sin(AskGrad_L1_L2), mul(MeanAskVol, mul(div(BidStackRange, AskGrad_L1_L2), sin(MeanBidVol)))))))",AskGrad_L1_L2 - BidGrad_L1_L2 + sqrt(Abs((AskGrad_L1_L2 + 1.0e-9)*sin(AskGrad_L1_L2)/(1.0e-9*AskGrad_L1_L2 + BidStackRange*MeanAskVol*sin(MeanBidVol) + 1.0e-18))),1,0.95,True,143,162,19,9,4,-5
model_21_best0,"sub(sqrt(sqrt(mul(BidGrad_L1_L2, BidStackRange))), sqrt(AskGrad_L1_L2))",-sqrt(Abs(AskGrad_L1_L2)) + Abs(BidGrad_L1_L2*BidStackRange)**(1/4),-1,0.95,True,71,67,-4,5,3,-2
model_0_best0,"sqrt(add(div(BidGrad_L2_L3, MeanAskPrice), div(BidGrad_L1_L2, AskGrad_L1_L2)))",sqrt(Abs((BidGrad_L1_L2*(MeanAskPrice + 1.0e-9) + BidGrad_L2_L3*(AskGrad_L1_L2 + 1.0e-9))/((AskGrad_L1_L2 + 1.0e-9)*(MeanAskPrice + 1.0e-9)))),-1,0.95,True,78,142,64,4,2,-2
model_23_best0,"mul(BidStackRange, BidGrad_L1_L2)",BidGrad_L1_L2*BidStackRange,-1,0.95,True,33,27,-6,1,0,-1
